sample_id,target_class_id,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,u1_num_paths,u1_channel_power_db,u1_strongest_delay_ns,u1_rms_delay_spread_ns,u2_num_paths,u2_channel_power_db,u2_strongest_delay_ns,u2_rms_delay_spread_ns,tx0_sector_label,tx0_codebook_label,tx0_sector_angle_deg,tx0_refinement_angle_deg,tx0_target_angle_deg,tx1_sector_label,tx1_codebook_label,tx1_sector_angle_deg,tx1_refinement_angle_deg,tx1_target_angle_deg,best_tx0_sector,best_tx0_codebook,best_tx1_sector,best_tx1_codebook,target_score,target_sinr_u1_db,target_sinr_u2_db,target_rate_u1_bpshz,target_rate_u2_bpshz,target_sum_rate_bpshz
33,19,7.304254173675704,3.893866220216311,1.5,8.277337928017715,28.061884016833577,1.0104908759688045,23.323080812664436,3.111057467538928,2.7930344833727774,1.5,4.180875529316697,41.91675148032514,2.3921695999224575,29.25554657900485,13.854867463491562,1,-76.67691802978516,27.610227584838867,0.0,1,-70.74445343017578,13.945900917053223,0.0,2,0,30.0,-5.0,25.0,3,0,45.0,-5.0,40.0,2,0,3,0,11.037009109831251,9.256844338438308,23.461342010949082,3.236832699484738,7.800176410346514,11.037009109831251
34,20,8.982208533161197,3.507221404538146,1.5,9.64264860469593,21.328813013587705,1.1985598621316056,21.996965703304006,3.4094509889430937,4.44039034144628,1.5,5.5983410427031375,52.48197758312041,3.8241363750493487,26.719705347395596,31.153164569532706,1,-78.00303649902344,32.16441345214844,0.0,1,-73.2802963256836,18.674055099487305,0.0,2,0,30.0,-5.0,25.0,4,0,60.0,-5.0,55.0,2,0,4,0,11.448797616404407,20.78595803748554,13.450348170508029,6.916934523506151,4.531863092898257,11.448797616404407
35,20,5.741429904009915,2.5044740697744716,1.5,6.263897166208271,23.56735245820376,4.181342947041335,25.74399988205849,5.228798319844558,7.467497898142524,1.5,9.116131675681977,55.0,3.174501441731247,22.484681070854094,31.43264754179624,1,-74.25599670410156,20.89411163330078,0.0,1,-77.51531982421875,30.40814208984375,0.0,2,0,30.0,-5.0,25.0,4,0,60.0,-5.0,55.0,2,0,4,0,11.138106999133486,18.23697067844455,15.095054451653624,6.07968064771075,5.058426351422736,11.138106999133486
36,21,2.591550163525705,1.1579001297454465,1.5,2.8384617243384893,24.07500915232125,4.143129332792197,32.61923200859024,3.345900161499089,-4.44332072657103,1.5,5.56220702328629,-53.019597310742995,3.3172448424771317,26.77594962757913,77.09460646306425,1,-67.38076782226562,9.46808910369873,0.0,1,-73.22404479980469,18.553525924682617,0.0,2,0,30.0,-5.0,25.0,5,0,-45.0,-5.0,-50.0,2,0,5,0,15.833298411110853,29.08238332361947,18.514518188698478,9.662739640083387,6.170558771027465,15.833298411110853
37,21,5.329164959662004,2.8198204218131164,1.5,6.029211090894366,27.884654525247647,1.9403858296113605,26.07568249288743,4.36516996652807,-4.670717452715987,1.5,6.3929891568642905,-46.93671219539849,4.517713588237268,25.566813306933525,74.82136672064614,1,-73.92431640625,20.111284255981445,0.0,1,-74.43318939208984,21.324716567993164,0.0,2,0,30.0,-5.0,25.0,5,0,-45.0,-5.0,-50.0,2,0,5,0,14.029894440357836,17.126117772300265,25.011028009040377,5.716867307484388,8.313027132873449,14.029894440357836
38,22,7.3076834627766925,3.5813078051109244,1.5,8.138058932392195,26.108286425511533,2.99721990508168,23.470476043659048,4.752226979029441,-3.515114858418453,1.5,5.910980775479604,-36.489495576586066,2.957498037158673,26.24770223929921,62.5977820020976,1,-76.52952575683594,27.145641326904297,0.0,1,-73.7522964477539,19.716909408569336,0.0,2,0,30.0,-5.0,25.0,6,0,-30.0,-5.0,-35.0,2,0,6,0,11.71933060489825,17.385877648001347,17.74181219528652,5.8015642502283615,5.917766354669889,11.71933060489825
39,22,6.45265086175971,2.879096108472823,1.5,7.065826034200933,24.04586063666388,3.625263104895693,24.69763390693903,3.7388228302859474,-2.689627043776232,1.5,4.6057453024325925,-35.73041114192241,4.607423354290708,28.414893904784655,59.77627177858629,1,-75.3023681640625,23.569059371948242,0.0,1,-71.5851058959961,15.363112449645996,0.0,2,0,30.0,-5.0,25.0,6,0,-30.0,-5.0,-35.0,2,0,6,0,12.813963328895102,19.839927366755113,18.62998556419129,6.605572713187838,6.208390615707264,12.813963328895102
40,23,7.900519363458063,3.5046634371831993,1.5,8.642966621496612,23.922031800520422,4.241631135326246,22.947636234513134,6.028569798878853,-1.8188515698884886,1.5,6.296973467725589,-16.788842052488846,1.512823077032082,25.69825587681288,40.71087385300927,1,-77.0523681640625,28.829832077026367,0.0,1,-74.30174255371094,21.00444221496582,0.0,2,0,30.0,-5.0,25.0,7,0,-15.0,-5.0,-20.0,2,0,7,0,14.277041058118112,19.06768709231803,23.83908569465501,6.351920213237524,7.925120844880587,14.277041058118112
41,23,4.917852387211083,2.6239629017695796,1.5,5.574087675329549,28.082538800951262,2.010373598874608,26.75741658374772,4.6393644166027945,-1.7679478485955324,1.5,4.964810347374184,-20.860615121140953,4.24932154162707,27.76284094819661,48.943153922092215,1,-73.24258422851562,18.593154907226562,0.0,1,-72.2371597290039,16.560823440551758,0.0,2,0,30.0,-5.0,25.0,7,0,-15.0,-5.0,-20.0,2,0,7,0,11.640319297921693,16.751335820327576,18.132457906909558,5.5948375824054475,6.045481715516245,11.640319297921693
42,24,6.3706539006270555,5.032038431361332,1.5,8.118290577225734,38.30442618484233,4.466004056075333,23.49160136893246,2.4750814991087453,-0.15798858209112066,1.5,2.4801187107276856,-3.6523301391154686,3.0007675601030273,33.79144322042235,41.9567563239578,1,-76.5083999633789,27.07970428466797,0.0,1,-66.20855712890625,8.272785186767578,0.0,3,0,45.0,-5.0,40.0,0,0,0.0,-5.0,-5.0,3,0,0,0,17.910994663854886,22.980122407017895,30.91201387777606,7.641076973452954,10.269917690401934,17.910994663854886
