sample_id,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,u1_num_paths,u1_channel_power_db,u1_strongest_delay_ns,u1_rms_delay_spread_ns,u2_num_paths,u2_channel_power_db,u2_strongest_delay_ns,u2_rms_delay_spread_ns,tx0_beam_label,tx0_codebook_label,tx0_effective_angle_deg,tx1_beam_label,tx1_codebook_label,tx1_effective_angle_deg,independent_u1_beam,independent_u1_codebook,independent_u2_beam,independent_u2_codebook,u1_sinr_db,u2_sinr_db,u1_rate_bpshz,u2_rate_bpshz,sum_rate_bpshz,joint_score
20,9.838787365157005,0.2932963260516404,1.5,9.843158007044716,1.707493601689805,3.971069672860158,21.88741306211762,4.466209409539423,4.256006839492639,1.5,6.169329032209792,43.61945760876009,3.32261145541129,25.945345081827774,41.91196400707028,1,-78.11258697509766,32.8332405090332,0.0,1,-74.05465698242188,20.578664779663086,0.0,3,5,-12.241935483870968,7,25,56.79032258064516,4,3,6,29,19.568193008404847,23.116180479052232,6.516260766398063,7.686051556108101,14.202312322506163,14.202312322506163
21,2.5267304172959424,-0.34164285696301805,1.5,2.5497228169748922,-7.7003451908720635,2.0039969866590326,33.620245084144855,3.989640987276544,4.688343044764203,1.5,6.156118559022872,49.60320151400347,4.224156589048436,25.963962511139496,57.30354670487554,1,-66.3797607421875,8.504960060119629,0.0,1,-74.0360336303711,20.53460121154785,0.0,3,15,-7.725806451612903,7,9,49.564516129032256,3,15,7,9,28.433032608899648,24.518777161182072,9.447317029561276,8.150049279483225,17.597366309044503,17.597366309044503
22,6.777316269427132,3.000385439818633,1.5,7.411769599988747,23.879449470923518,2.3307258368452994,24.3516652507359,4.344804347875391,5.5354969957118785,1.5,7.036977462721628,51.8716779307738,2.5931022387174822,24.802379983769278,27.99222845985028,1,-75.6483383178711,24.72300148010254,0.0,1,-75.19761657714844,23.47283172607422,0.0,3,30,-0.951612903225806,7,31,59.5,5,19,7,14,5.553106025037571,21.99333949006062,2.1990557944541407,7.315117311866986,9.514173106321127,9.479499106194549
23,2.3568632166772012,-2.7519911548973983,1.5,3.6232940177081296,-49.42255392005024,4.360675268633559,30.568031777333143,2.5863671432479087,2.6504491707536206,1.5,3.7032655598027135,45.7010836836299,1.449622965970316,30.378405902433478,95.12363760368015,1,-69.43196868896484,12.086008071899414,0.0,1,-69.62159729003906,12.352764129638672,0.0,0,22,-49.564516129032256,7,0,45.5,0,22,7,0,27.26427567080071,27.174461973041282,9.059702407353395,9.02992343393153,18.089625841284928,18.089625841284928
24,6.824785158662508,-0.2727260138766144,1.5,6.830232202534923,-2.288385562141272,2.2266379635554876,25.06139491514585,6.444003631177009,2.0342908221325464,1.5,6.7574789639062285,17.520250726996963,4.845403378945828,25.15440939647509,19.808636289138235,1,-74.93860626220703,22.783201217651367,0.0,1,-74.84558868408203,22.540523529052734,0.0,1,21,-35.016129032258064,7,7,48.66129032258065,3,27,5,4,12.523080513179393,14.395837045865523,4.238599790498509,4.833694604472338,9.072294394970847,9.072020204171505
25,5.554402526773053,1.3942516779767993,1.5,5.726720280488999,14.091094035139747,1.2474616726254966,26.59198386055687,5.8171849631978985,-4.038859305582431,1.5,7.0818094711977055,-34.77216638393397,2.6460672939918997,24.747218568378248,48.86326041907372,1,-73.40802001953125,19.10228157043457,0.0,1,-75.25277709960938,23.622373580932617,0.0,5,12,20.919354838709676,1,6,-41.79032258064516,4,30,1,22,24.588666473365556,23.193264651186215,8.173184926379918,7.711535111974873,15.884720038354791,15.884720038354791
26,6.671493357549086,4.615151750129591,1.5,8.112240707507748,34.67439671209489,4.6534194461241825,23.56728510291748,5.775802044043376,-5.301354746688884,1.5,7.83991399201652,-42.547455222225466,4.208146311989135,23.86387703447744,77.22185193432036,1,-76.4327163696289,27.05952262878418,0.0,1,-76.13612365722656,26.151138305664062,0.0,6,9,34.564516129032256,1,4,-42.693548387096776,6,9,1,4,22.67744284460697,22.91746757299025,7.5410505821104215,7.620368508140743,15.161419090251165,15.161419090251165
27,9.012503078699067,0.4034955204918064,1.5,9.021530933196267,2.563456827269505,1.121155335726408,22.644498331183218,6.010457891815374,-7.129626768261617,1.5,9.325083480805858,-49.86825382507241,1.0808622934245875,22.357048068232217,52.43171065234191,1,-77.35550689697266,30.092586517333984,0.0,1,-77.64295196533203,31.105131149291992,0.0,4,12,5.919354838709677,0,14,-53.17741935483871,4,5,0,21,21.813499995446914,21.580543203632175,7.25575890033737,7.1788924283362965,14.434651328673667,14.434651328673667
28,3.5625770371861365,-1.8670112051184746,1.5,4.022149423619651,-27.657324947011883,1.1559433641321815,29.660938019434695,3.4710629440427327,0.4493425899456584,1.5,3.5000266748477324,7.376140022393521,3.361551471339407,30.868677984535463,35.0334649694054,1,-70.33905792236328,13.416444778442383,0.0,1,-69.1313247680664,11.674832344055176,0.0,0,25,-48.20967741935484,5,28,28.14516129032258,2,4,4,15,23.389547273797113,23.75493999437147,7.77643460317066,7.897284371675532,15.673718974846192,15.673718974846192
29,3.1359110982056952,1.1145579704840627,1.5,3.3280892243777362,19.566107942404045,4.753365147458456,31.30620430785621,2.02676414288031,-0.7714048013170763,1.5,2.1686028355511286,-20.837278324148564,3.1535855195089786,35.02650317922166,40.40338626655261,1,-68.69379425048828,11.101310729980469,0.0,1,-64.97349548339844,7.233680248260498,0.0,6,10,35.016129032258064,1,18,-36.37096774193549,5,9,2,19,25.675726467812964,26.873796348688543,8.533191263930076,8.930242302852685,17.46343356678276,17.46343356678276
